Query_SMILES,Rank,Similarity,Viable_SMILES
CCN1CCN(CC1)CC2=CN=C(C=C2)NC3=NC=C(C(=N3)C4=CC5=C(C(=C4)F)N=C(N5C(C)C)C)F,45,0.08333333333333333,[13*]C1CC([15*])C(O)C(C)O1.[16*]c1cc2nccc([16*])c2cc1[16*]
CCN1CCN(CC1)CC2=CN=C(C=C2)NC3=NC=C(C(=N3)C4=CC5=C(C(=C4)F)N=C(N5C(C)C)C)F,46,0.08181818181818182,[15*]C1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(=O)CC21C.[16*]c1cnc(N)nc1
CCN1CCN(CC1)CC2=CN=C(C=C2)NC3=NC=C(C(=N3)C4=CC5=C(C(=C4)F)N=C(N5C(C)C)C)F,47,0.08,[5*]N1CCNCC1.[7*]C([8*])C
CCN1CCN(CC1)CC2=CN=C(C=C2)NC3=NC=C(C(=N3)C4=CC5=C(C(=C4)F)N=C(N5C(C)C)C)F,48,0.08,[3*]OC1CC([15*])(O)Cc2c(O)c3c(c(O)c21)C(=O)c1ccccc1C3=O.[7*]CC[7*]
CCN1CCN(CC1)CC2=CN=C(C=C2)NC3=NC=C(C(=N3)C4=CC5=C(C(=C4)F)N=C(N5C(C)C)C)F,49,0.07964601769911504,[13*]C1OC([13*])C(F)(F)C1O.[15*]C1C(OC)=CC23CCCN2CCc2cc4c(cc2C13)OCO4
CCN1CCN(CC1)CC2=CN=C(C=C2)NC3=NC=C(C(=N3)C4=CC5=C(C(=C4)F)N=C(N5C(C)C)C)F,50,0.07954545454545454,[16*]c1cc([16*])c2c(C#N)cnn2c1.[5*]N[5*]
CC12CCC(CC1=CCC3C2CCC4(C3CC=C4C5=CN=CC=C5)C)O,1,0.19767441860465115,[15*]C1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(=O)CC21C.[16*]c1cnc(N)nc1
CC12CCC(CC1=CCC3C2CCC4(C3CC=C4C5=CN=CC=C5)C)O,2,0.18478260869565216,[14*]c1ccnc([14*])n1.[15*]C1(O)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C
CC12CCC(CC1=CCC3C2CCC4(C3CC=C4C5=CN=CC=C5)C)O,3,0.1794871794871795,[16*]c1ccc2c(c1)CCC1C2CCC2(C)C(O)CCC12.[4*]CC
CC12CCC(CC1=CCC3C2CCC4(C3CC=C4C5=CN=CC=C5)C)O,4,0.17721518987341772,[16*]c1ccc2c(c1)CCC1C2CCC2(C)C(O)CCC12.[8*]C(C)O
CC12CCC(CC1=CCC3C2CCC4(C3CC=C4C5=CN=CC=C5)C)O,5,0.14285714285714285,[16*]c1ccc([16*])c2c1C(=O)c1ccncc1C2=O.[4*]CC([6*])=O
CC12CCC(CC1=CCC3C2CCC4(C3CC=C4C5=CN=CC=C5)C)O,6,0.1323529411764706,[13*]C1OC([13*])C(O)C1O.[16*]c1c(C)cccc1Cl
CC12CCC(CC1=CCC3C2CCC4(C3CC=C4C5=CN=CC=C5)C)O,7,0.1282051282051282,[13*]C1CC([15*])C(O)C(C)O1.[16*]c1cc2nccc([16*])c2cc1[16*]
CC12CCC(CC1=CCC3C2CCC4(C3CC=C4C5=CN=CC=C5)C)O,8,0.12631578947368421,[13*]C1CC2OC2(C)CCCC(C)C(O)C(C)C(=O)C(C)(C)C(O)CC(=O)N1.[5*]N1CCC(O)C1
CC12CCC(CC1=CCC3C2CCC4(C3CC=C4C5=CN=CC=C5)C)O,9,0.12087912087912088,[10*]N1C(=O)NC(C)(C)C1=O.[16*]c1ccc(C)c(C#Cc2cnc3cccnn23)c1
CC12CCC(CC1=CCC3C2CCC4(C3CC=C4C5=CN=CC=C5)C)O,10,0.11827956989247312,[13*]C1OC([13*])C(O)C([15*])C1O.[3*]OC1CC([15*])(O)Cc2c(O)c3c(c(O)c21)C(=O)c1c([16*])cccc1C3=O
CC12CCC(CC1=CCC3C2CCC4(C3CC=C4C5=CN=CC=C5)C)O,11,0.11764705882352941,[13*]C1(C)CO1.[16*]c1ccc([16*])c2c1C(=O)c1c(O)ccc(O)c1C2=O
CC12CCC(CC1=CCC3C2CCC4(C3CC=C4C5=CN=CC=C5)C)O,12,0.11764705882352941,[16*]c1cccc([16*])c1C.[5*]N1CCC([15*])C1
CC12CCC(CC1=CCC3C2CCC4(C3CC=C4C5=CN=CC=C5)C)O,13,0.11428571428571428,[13*]C1OC([13*])C(F)C1O.[16*]c1cnc(N)nc1
CC12CCC(CC1=CCC3C2CCC4(C3CC=C4C5=CN=CC=C5)C)O,14,0.11428571428571428,[14*]c1nccc(C)c1[16*].[16*]c1cccc(O)c1
CC12CCC(CC1=CCC3C2CCC4(C3CC=C4C5=CN=CC=C5)C)O,15,0.1111111111111111,[13*]C1CCCCO1.[9*]n1cc(F)cn1
